sweep,camera,fps,noise_px,radius_noise,dropout,tap_px,physics,i,speed_kmh,length_m,line_m,restitution_true,n_dets,truth,calib_reproj_px,estimator,ok,verdict,verdict_k0,verdict_k0.5,verdict_k1.5,verdict_k2,bounce_observed,y_err_cm,z_err_cm,sigma_y_cm,sigma_z_cm,contact_x_err_cm,contact_y_err_cm,speed_err_kmh,rms_px,restitution
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,256,79.8,6.59,-0.01,0.504,51,not_out,2.42,parabola,True,not_out,not_out,not_out,umpires_call,umpires_call,False,27.786,38.8865,8.2169,0.0,258.6765,2.4773,68.7695,11.5366,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,257,97.7,6.26,-0.301,0.575,44,not_out,5.62,anchored,True,not_out,not_out,not_out,not_out,not_out,True,6.8945,6.065,3.0539,2.9081,6.3246,2.3491,10.1994,1.0949,0.5191
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,257,97.7,6.26,-0.301,0.575,44,not_out,5.62,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,695.306,56.9666,1703.9866,2793.6208,2442.1914,60.8661,36.9754,20.8273,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,258,65.4,7.17,-0.445,0.405,59,not_out,3.53,anchored,True,not_out,not_out,not_out,not_out,not_out,True,6.7745,0.2811,2.5839,0.5334,4.2265,1.7639,2.7949,1.1255,0.3683
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,258,65.4,7.17,-0.445,0.405,59,not_out,3.53,parabola,True,umpires_call,not_out,not_out,umpires_call,umpires_call,False,770.935,0.864,787.9289,302.1991,1829.0549,99.8095,0.5796,31.7448,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,259,65.1,5.62,0.262,0.453,63,not_out,2.78,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.3568,4.42,0.4173,5.6381,0.7945,1.5054,14.409,1.1306,0.4271
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,259,65.1,5.62,0.262,0.453,63,not_out,2.78,parabola,True,not_out,not_out,not_out,not_out,not_out,False,17.1575,19.6813,3.2285,0.0,337.9189,1.5088,44.8407,10.6811,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,260,80.8,9.38,-0.319,0.563,55,not_out,2.17,anchored,True,not_out,not_out,not_out,not_out,not_out,True,8.678,3.9361,1.8902,1.2811,0.2732,1.6358,8.898,0.9451,0.5339
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,260,80.8,9.38,-0.319,0.563,55,not_out,2.17,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,192.3692,56.6455,2728.2169,1202.105,244.8676,171.2724,35.235,33.7311,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,261,65.3,7.83,0.47,0.423,63,not_out,3.43,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.5445,22.7245,0.8918,0.119,9.3004,0.1274,8.767,0.9649,0.4083
